img_num,label_name,longitude,latitude,acquisition date,FVC,ndvi_mean,ndvi_std,ndvi_median,gndvi_mean,evi_mean,lai_mean,category,Lettuce color,Leaf sample weight (mg),Sample disc weight (g),Anthocyanins OD-530 nm,Chlorophyll OD-657 nm,Chlorophyll interference,Anthocyanin,DATE,Illumination
218,C10,34.91628265,32.02518463,21-01-2026,0.1796226501464843,0.74863863,0.052274935,0.7578611,0.74863863,0.9190072,3.206968,GREEN_Control_ids,GREEN,0.5,0.03,0.1059,0.2438,0.061,0.045,17/12/2025,Control-Sun
218,C1,34.91628265,32.02518463,21-01-2026,0.1796226501464843,0.7645957,0.051949635,0.77589244,0.7645957,0.88316554,3.077293,RED_Control_ids,RED,0.38,0.03,0.4537,0.3259,0.081,0.372,17/12/2025,Control-Sun
218,C2,34.91628265,32.02518463,21-01-2026,0.1796226501464843,0.7938865,0.04447845,0.80176437,0.7938865,0.9147453,3.1915486,RED_Control_ids,RED,0.42,0.03,0.7704,0.4259,0.106,0.664,17/12/2025,Control-Sun
218,C3,34.91628265,32.02518463,21-01-2026,0.1796226501464843,0.7728709,0.05490881,0.7789996,0.7728709,0.93622243,3.269253,RED_Control_ids,RED,0.79,0.03,0.6139,0.6157,0.154,0.46,17/12/2025,Control-Sun
218,C4,34.91628265,32.02518463,21-01-2026,0.1796226501464843,0.74439454,0.043999847,0.7496584,0.74439454,0.93517643,3.265468,RED_Control_ids,RED,0.48,0.03,0.5629,0.5422,0.136,0.427,17/12/2025,Control-Sun
218,C5,34.91628265,32.02518463,21-01-2026,0.1796226501464843,0.78774065,0.069683716,0.8106196,0.78774065,0.92031133,3.2116864,RED_Control_ids,RED,0.29,0.03,0.6089,0.3531,0.088,0.521,17/12/2025,Control-Sun
216,R1,34.91625977,32.02518845,21-01-2026,0.1929092407226562,0.8615222,0.064708576,0.8633114,0.8615222,0.9893651,3.4615226,RED_white_blue_led_ids,RED,0.42,0.03,0.3447,0.4428,0.111,0.234,17/12/2025,White+Blue LED
216,R2,34.91625977,32.02518845,21-01-2026,0.1929092407226562,0.831012,0.07339195,0.84653366,0.831012,0.88700044,3.0911674,RED_white_blue_led_ids,RED,1.2,0.03,0.4441,0.7598,0.19,0.254,17/12/2025,White+Blue LED
216,R3,34.91625977,32.02518845,21-01-2026,0.1929092407226562,0.80429,0.059091862,0.81529903,0.80429,0.94067144,3.2853494,RED_white_blue_led_ids,RED,0.38,0.03,0.5158,0.5741,0.144,0.372,17/12/2025,White+Blue LED
216,R4,34.91625977,32.02518845,21-01-2026,0.1929092407226562,0.8460771,0.076944955,0.8593957,0.8460771,0.8738963,3.0437565,RED_white_blue_led_ids,RED,0.78,0.03,0.3692,0.5843,0.146,0.223,17/12/2025,White+Blue LED
216,R5,34.91625977,32.02518845,21-01-2026,0.1929092407226562,0.8264151,0.06642453,0.8443937,0.8264151,0.88917327,3.0990286,RED_white_blue_led_ids,RED,1.6,0.03,0.4115,0.4563,0.114,0.297,17/12/2025,White+Blue LED
216,R6,34.91625977,32.02518845,21-01-2026,0.1929092407226562,0.7631424,0.065183476,0.7709508,0.7631424,0.8426934,2.9308648,RED_white_led_ids,RED,0.77,0.03,0.3906,0.5912,0.148,0.243,17/12/2025,White LED
216,R7,34.91625977,32.02518845,21-01-2026,0.1929092407226562,0.8482471,0.051205274,0.8558515,0.8482471,0.9938592,3.4777827,RED_white_led_ids,RED,0.92,0.03,0.4189,0.6681,0.167,0.252,17/12/2025,White LED
216,R8,34.91625977,32.02518845,21-01-2026,0.1929092407226562,0.8492151,0.058139957,0.857313,0.8492151,0.9439202,3.2971032,RED_white_led_ids,RED,0.82,0.03,0.4001,0.6581,0.165,0.236,17/12/2025,White LED
216,R9,34.91625977,32.02518845,21-01-2026,0.1929092407226562,0.8322208,0.06068462,0.8478496,0.8322208,0.9155801,3.1945689,RED_white_led_ids,RED,0.94,0.03,0.3971,0.6621,0.166,0.232,17/12/2025,White LED
216,R10,34.91625977,32.02518845,21-01-2026,0.1929092407226562,0.8441822,0.071778595,0.856395,0.8441822,0.90279704,3.14832,RED_white_led_ids,RED,0.53,0.03,0.3766,0.5876,0.147,0.23,17/12/2025,White LED
216,R11,34.91625977,32.02518845,21-01-2026,0.1929092407226562,0.8366333,0.06390419,0.8471916,0.8366333,0.86633617,3.0164042,RED_Shade_ids,RED,0.52,0.03,0.4445,0.8693,0.217,0.227,17/12/2025,Shade
216,R12,34.91625977,32.02518845,21-01-2026,0.1929092407226562,0.80152917,0.06864999,0.81962407,0.80152917,0.8840888,3.0806334,RED_Shade_ids,RED,0.36,0.03,0.4124,0.6571,0.164,0.248,17/12/2025,Shade
