label_name,bbox_x,bbox_y,bbox_width,bbox_height,image_name,image_width,image_height,huePlantMean,satPlantMean,valPlantMean,huePlantStd,satPlantStd,valPlantStd,huePlantMedian,satPlantMedian,valPlantMedian,category,Lettuce color,Leaf sample weight (mg),Sample disc weight (g),Anthocyanins OD-530 nm,Chlorophyll OD-657 nm,Chlorophyll interference,Anthocyanin,DATE,Illumination
C8,153,577,1723,1648,20251207_151303.jpg,2992,2992,0.1878450061699136,0.9622492516010138,0.417695924867522,0.0172994332734874,0.0791629722828276,0.0865880112618417,0.1830601092896174,1.0,0.4313725490196078,GREEN_Control_ids,GREEN,0.31,0.03,0.1533,0.4573,0.114,0.039,2025-12-09,Control-Sun
R12,384,17,1681,1789,20251207_145032.jpg,2992,2992,0.1737654615441333,0.881275735305429,0.2789942058018166,0.0220326468632723,0.1681962600447103,0.0875922859154424,0.1733333333333333,1.0,0.2901960784313725,RED_Shade_ids,RED,0.26,0.03,0.351,0.7063,0.177,0.292,2025-12-09,Shade
R4,252,190,1525,1533,20251207_141839.jpg,2992,2992,0.1274166501543508,0.3799725820441545,0.2424467967467541,0.0493730472143833,0.1187032640325568,0.049428504916525,0.1222222222222222,0.3793103448275862,0.2431372549019607,RED_white_blue_led_ids,RED,0.26,0.03,0.6931,0.7705,0.193,0.5,2025-12-09,White+Blue LED
R11,351,50,1599,1673,20251207_144921.jpg,2992,2992,0.1730599928710132,0.8620623599692748,0.2671415504706764,0.0160425035451629,0.1723297933831329,0.0672825045940674,0.173469387755102,0.9558823529411764,0.2666666666666666,RED_Shade_ids,RED,0.28,0.03,0.3036,0.5977,0.149,0.202,2025-12-09,Shade
G9,29,379,2077,1789,20251207_144545.jpg,2992,2992,0.1937027177281077,0.9441225419870254,0.3833503574961038,0.021731131555827,0.1143154461965714,0.0790779918707395,0.1870748299319727,1.0,0.392156862745098,GREEN_white_led_ids,GREEN,0.27,0.03,0.1345,0.3986,0.1,0.035,2025-12-09,White LED
R2,0,99,1538,1657,20251207_141728.jpg,2992,2992,0.1321962692148129,0.6603752879536342,0.1821010732809273,0.0309521040112068,0.2694413472974093,0.0709571542284286,0.1333333333333333,0.6764705882352942,0.1803921568627451,RED_white_blue_led_ids,RED,0.16,0.03,0.6154,0.6725,0.168,0.447,2025-12-09,White+Blue LED
R1,186,140,1747,1418,20251207_141612.jpg,2992,2992,0.1572569402423519,0.7603324913138124,0.2171899232147842,0.0200627561836737,0.2296655553588501,0.0661414386992732,0.1589147286821705,0.8028169014084507,0.2196078431372549,RED_white_blue_led_ids,RED,0.27,0.03,0.5207,0.7561,0.189,0.332,2025-12-09,White+Blue LED
G1,491,50,1681,1739,20251207_142441.jpg,2992,2992,0.216318796452795,0.8375139530381679,0.3355814781838391,0.0242528920153019,0.1591219550350324,0.0804094630642256,0.2156862745098039,0.8673469387755103,0.3450980392156862,GREEN_white_blue_led_ids,GREEN,0.72,0.03,0.1561,0.4924,0.123,0.033,2025-12-09,White+Blue LED
G2,351,387,1657,1665,20251207_142615.jpg,2992,2992,0.2090660722893007,0.7464873271135867,0.3539895996883675,0.0195314554809183,0.1488693370612602,0.0652280850542818,0.2067901234567901,0.7310924369747899,0.3568627450980392,GREEN_white_blue_led_ids,GREEN,0.27,0.03,0.1625,0.4995,0.125,0.038,2025-12-09,White+Blue LED
G3,433,0,1484,1475,20251207_142834.jpg,2992,2992,0.2088301069209265,0.8134625359893388,0.3658029475146804,0.0191849519004184,0.1514853091919988,0.0664272194895095,0.2071428571428571,0.8137254901960784,0.3686274509803922,GREEN_white_blue_led_ids,GREEN,0.4,0.03,0.1741,0.5582,0.14,0.035,2025-12-09,White+Blue LED
