label_name,bbox_x,bbox_y,bbox_width,bbox_height,image_name,image_width,image_height,valPlantMean,satPlantMean,huePlantMean,plantBinImg,category,catalog id,color,Leaf sample weight (mg),Sample disc weight (g),Anthocyanins OD-530 nm,Chlorophyll OD-657 nm,Chlorophyll interference,Anthocyanin
R15,359,0,1648,1442,20251207_145303.jpg,2992,2992,0.26431983054352,0.884786619348478,0.1689859604761381,"[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]",RED_Shade_ids,R15,R,0.28,0.03,0.4984,0.7101,0.178,0.321
G11,293,58,1772,2242,20251207_145551.jpg,2992,2992,0.4197329561644906,0.9672517153146823,0.194562041984325,"[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]",GREEN_Shade_ids,G11,G,0.37,0.03,0.1574,0.4992,0.125,0.033
G12,227,82,1813,1888,20251207_145825.jpg,2992,2992,0.4122427935245655,0.9738350738786063,0.1916651176943879,"[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]",GREEN_Shade_ids,G12,G,0.23,0.03,0.1262,0.3416,0.085,0.041
G13,318,198,2118,1962,20251207_145911.jpg,2992,2992,0.4422685822741395,0.96961418239746,0.1943965964507536,"[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]",GREEN_Shade_ids,G13,G,0.61,0.03,0.1371,0.4183,0.105,0.033
G14,104,0,2052,2118,20251207_150011.jpg,2992,2992,0.4872591641226038,0.966873465747912,0.1917117100483706,"[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]",GREEN_Shade_ids,G14,G,0.27,0.03,0.151,0.4341,0.109,0.042
G15,244,338,1838,1986,20251207_150059.jpg,2992,2992,0.3768195947356227,0.98833538164934,0.191018062057442,"[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]",GREEN_Shade_ids,G15,G,0.25,0.03,0.1385,0.4195,0.105,0.034
C1,549,379,1500,1508,20251207_150459.jpg,2992,2992,0.2781481443445333,0.7398942337884925,0.1263488381528442,"[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]",RED_Control_ids,C1,C,0.23,0.03,0.5577,0.6355,0.159,0.399
C2,62,371,2019,1797,20251207_150611.jpg,2992,2992,0.2943122316781639,0.6879769316664444,0.1102864448193222,"[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]",RED_Control_ids,C2,C,0.25,0.03,0.7991,0.662,0.166,0.634
C3,400,264,1838,1764,20251207_150705.jpg,2992,2992,0.2453461652596874,0.7244266858642715,0.1203357295439838,"[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]",RED_Control_ids,C3,C,0.28,0.03,0.5859,0.6995,0.175,0.411
C4,442,462,1640,1591,20251207_150755.jpg,2992,2992,0.2254602472162306,0.7205374366616946,0.0985290294661046,"[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]",RED_Control_ids,C4,C,0.2,0.03,0.8798,0.703,0.176,0.704
C5,211,140,1929,1879,20251207_150851.jpg,2992,2992,0.2466622325366949,0.7552121011007508,0.1314806178026656,"[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]",RED_Control_ids,C5,C,0.21,0.03,1.0127,0.5168,0.129,0.884
C6,499,74,1838,1797,20251207_151126.jpg,2992,2992,0.4174660457408409,0.9733992819140352,0.1829612394669458,"[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]",GREEN_Control_ids,C6,C,0.18,0.03,0.1231,0.3403,0.085,0.038
C7,21,322,1756,1789,20251207_151213.jpg,2992,2992,0.3956862178086257,0.9492729833856188,0.1861386182269735,"[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]",GREEN_Control_ids,C7,C,0.28,0.03,0.1236,0.3673,0.092,0.032
C8,153,577,1723,1648,20251207_151303.jpg,2992,2992,0.4171085129667894,0.9610965602405795,0.1879345005409248,"[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]",GREEN_Control_ids,C8,C,0.31,0.03,0.1533,0.4573,0.114,0.039
C9,194,58,2110,1970,20251207_151405.jpg,2992,2992,0.4415044945908901,0.981824518087806,0.1811514244072631,"[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]",GREEN_Control_ids,C9,C,0.31,0.03,0.1206,0.3526,0.088,0.032
C10,260,585,1805,1681,20251207_151445.jpg,2992,2992,0.4363803949206684,0.967393692181596,0.1827374448911788,"[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]",GREEN_Control_ids,C10,C,0.3,0.03,0.1542,0.4561,0.114,0.04
